"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Maury County, TN","47119",37,629904,5.87,4.14,8.10
,"Meigs County, TN","47121",12,83981,Unreliable,7.38,24.96
,"Monroe County, TN","47123",33,321381,10.27,7.07,14.42
,"Montgomery County, TN","47125",90,1378418,6.53,5.25,8.03
,"Morgan County, TN","47129",11,151245,Unreliable,3.63,13.01
,"Obion County, TN","47131",14,214010,Unreliable,3.58,10.98
,"Overton County, TN","47133",20,154604,12.94,7.90,19.98
,"Polk County, TN","47139",10,117452,Unreliable,4.08,15.66
,"Putnam County, TN","47141",43,534936,8.04,5.82,10.83
,"Rhea County, TN","47143",26,229024,11.35,7.42,16.63
,"Roane County, TN","47145",47,370980,12.67,9.31,16.85
,"Robertson County, TN","47147",41,486199,8.43,6.05,11.44
,"Rutherford County, TN","47149",128,2151130,5.95,4.92,6.98
,"Sevier County, TN","47155",72,675079,10.67,8.35,13.43
,"Shelby County, TN","47157",264,6560831,4.02,3.54,4.51
,"Stewart County, TN","47161",10,93713,Unreliable,5.12,19.62
,"Sullivan County, TN","47163",88,1100274,8.00,6.41,9.85
,"Sumner County, TN","47165",59,1259623,4.68,3.57,6.04
,"Tipton County, TN","47167",18,430928,Unreliable,2.48,6.60
,"Unicoi County, TN","47171",16,125027,Unreliable,7.31,20.78
,"Union County, TN","47173",19,135576,Unreliable,8.44,21.88
,"Warren County, TN","47177",13,283691,Unreliable,2.44,7.84
,"Washington County, TN","47179",86,891318,9.65,7.72,11.92
,"White County, TN","47185",15,186924,Unreliable,4.49,13.24
,"Williamson County, TN","47187",50,1531304,3.27,2.42,4.30
,"Wilson County, TN","47189",59,930737,6.34,4.83,8.18
,"Anderson County, TX","48001",21,404412,5.19,3.21,7.94
,"Angelina County, TX","48005",35,612849,5.71,3.98,7.94
,"Aransas County, TX","48007",15,173273,Unreliable,4.85,14.28
,"Atascosa County, TX","48013",24,342543,7.01,4.49,10.42
,"Austin County, TX","48015",17,207089,Unreliable,4.78,13.14
,"Bandera County, TX","48019",21,152825,13.74,8.51,21.00
,"Bastrop County, TX","48021",49,577614,8.48,6.28,11.22
,"Bee County, TX","48025",17,229001,Unreliable,4.32,11.89
,"Bell County, TX","48027",112,2397734,4.67,3.81,5.54
,"Bexar County, TX","48029",1011,13448090,7.52,7.05,7.98
,"Blanco County, TX","48031",10,79190,Unreliable,6.06,23.22
,"Bosque County, TX","48035",14,127325,Unreliable,6.01,18.45
,"Bowie County, TX","48037",41,655592,6.25,4.49,8.48
,"Brazoria County, TX","48039",93,2475794,3.76,3.03,4.60
,"Brazos County, TX","48041",38,1526569,2.49,1.76,3.42
,"Brewster County, TX","48043",12,64611,Unreliable,9.60,32.44
,"Brown County, TX","48049",28,265410,10.55,7.01,15.25
,"Burnet County, TX","48053",24,322973,7.43,4.76,11.06
,"Caldwell County, TX","48055",29,289974,10.00,6.70,14.36
,"Calhoun County, TX","48057",16,152058,Unreliable,6.01,17.09
,"Callahan County, TX","48059",14,96298,Unreliable,7.95,24.39
,"Cameron County, TX","48061",207,2952755,7.01,6.06,7.97
,"Cass County, TX","48067",16,211437,Unreliable,4.33,12.29
,"Cherokee County, TX","48073",29,362468,8.00,5.36,11.49
,"Clay County, TX","48077",10,72744,Unreliable,6.59,25.28
,"Coleman County, TX","48083",12,58733,Unreliable,10.56,35.69
,"Collin County, TX","48085",179,6603210,2.71,2.31,3.11
,"Comal County, TX","48091",50,951601,5.25,3.90,6.93
,"Cooke County, TX","48097",15,277449,Unreliable,3.03,8.92
,"Coryell County, TX","48099",17,527615,Unreliable,1.88,5.16
,"Dallas County, TX","48113",786,18018774,4.36,4.06,4.67
,"Deaf Smith County, TX","48117",13,132296,Unreliable,5.23,16.80
,"Denton County, TX","48121",196,5651435,3.47,2.98,3.95
,"DeWitt County, TX","48123",14,143422,Unreliable,5.34,16.38
,"Ector County, TX","48135",105,1105614,9.50,7.68,11.31
,"Ellis County, TX","48139",49,1185306,4.13,3.06,5.47
,"El Paso County, TX","48141",394,5855122,6.73,6.06,7.39
,"Erath County, TX","48143",10,289699,Unreliable,1.66,6.35
,"Fannin County, TX","48147",12,240381,Unreliable,2.58,8.72
,"Fort Bend County, TX","48157",117,5159408,2.27,1.86,2.68
,"Galveston County, TX","48167",144,2287701,6.29,5.27,7.32
,"Gillespie County, TX","48171",13,183799,Unreliable,3.77,12.09
,"Gonzales County, TX","48177",10,144779,Unreliable,3.31,12.70
,"Gray County, TX","48179",15,158207,Unreliable,5.31,15.64
,"Grayson County, TX","48181",31,900932,3.44,2.34,4.88
,"Gregg County, TX","48183",49,865100,5.66,4.19,7.49
,"Grimes County, TX","48185",14,194536,Unreliable,3.93,12.07
,"Guadalupe County, TX","48187",84,1087147,7.73,6.16,9.57
,"Hale County, TX","48189",18,240477,Unreliable,4.44,11.83
,"Hardin County, TX","48199",31,395173,7.84,5.33,11.13
,"Harris County, TX","48201",1342,31971103,4.20,3.97,4.42
,"Harrison County, TX","48203",33,467442,7.06,4.86,9.91
,"Hays County, TX","48209",97,1427567,6.79,5.51,8.29
,"Henderson County, TX","48213",57,563511,10.12,7.66,13.11
,"Hidalgo County, TX","48215",263,5934523,4.43,3.90,4.97
,"Hill County, TX","48217",16,248458,Unreliable,3.68,10.46
,"Hockley County, TX","48219",20,162904,12.28,7.50,18.96
,"Hood County, TX","48221",35,399559,8.76,6.10,12.18
,"Hopkins County, TX","48223",15,254499,Unreliable,3.30,9.72
,"Howard County, TX","48227",21,255875,8.21,5.08,12.55
,"Hunt County, TX","48231",46,646417,7.12,5.21,9.49
,"Hutchinson County, TX","48233",15,150348,Unreliable,5.58,16.46
,"Jefferson County, TX","48245",100,1776445,5.63,4.53,6.73
,"Jim Wells County, TX","48249",23,287739,7.99,5.07,11.99
,"Johnson County, TX","48251",58,1149906,5.04,3.83,6.52
,"Jones County, TX","48253",16,139657,Unreliable,6.55,18.60
